clock_offset,imu_longitude,imu_latitude,imu_rel_height,roll,pitch,yaw,accel_x,accel_y,accel_z,accel_composite,gyro_x,gyro_z,gyro_composite,vel_north,vel_east,vel_down,vel_composite,compass_interference,temperature,tilt_inclination,imu_pos_north,imu_pos_east,imu_pos_down,delta_vel_north,delta_vel_east,delta_vel_down,pos_error,total_gyro_z,total_gyro_x,total_gyro_y,dist_travelled,direction_travel_magnetic,direction_travel_true,imu_sensor_status,imu_filter_status,altitude_counter,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_hdop,gps_pdop,gps_speed_accuracy,num_satellites,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,motor_state,battery_very_low,battery_level1,battery_level2,batter_go_home,batter_land,batter_go_home_time,batter_land_time,oa_emergency_brake,hover_point_uncertainty1,hover_point_uncertainty2,hover_point_uncertainty3,hover_point_uncertainty4,hover_point_uncertainty5,hover_point_uncertainty6,velocity_uncertainty1,velocity_uncertainty3,velocity_uncertainty4,velocity_uncertainty6
0.977,-106.2164535964579,39.96119403420844,-1.7946775468749363,1.152495656134763,-1.9504760221010675,-117.84245552667926,-0.02886968,-0.041993808,-1.0177095,1.0189846,-1.1947429,-6.6237025,7.3382764,0.0072857547,0.001648209,-0.0004717412,0.0074847415,1527.0,65.01,2.2650722154503877,0.0006312284797438394,-0.0013213496940043,0.0239771845899436,-0.0115905665937484,0.0041408189269613,-0.1088925786967302,False,-576.57911640464,-562.1408503130605,-68.17204782520604,227.3309718955416,,,0.0,0.0,64875.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.02,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016868942,0.0,0.0,0.0016868527,0.0,0.0016868785,0.00010543089,0.3413111,0.00010542829,0.00010542991
1.019,-106.2164535964579,39.96119403420844,-1.7946775468749363,1.152495656134763,-1.9504760221010675,-117.84245552667926,-0.02886968,-0.041993808,-1.0177095,1.0189846,-1.1947429,-6.6237025,7.3382764,0.0072857547,0.001648209,-0.0004717412,0.0074847415,1527.0,65.01,2.2650722154503877,0.0006312284797438394,-0.0013213496940043,0.0239771845899436,-0.0115905665937484,0.0041408189269613,-0.1088925786967302,False,-576.57911640464,-562.1408503130605,-68.17204782520604,227.3309718955416,,,0.0,0.0,64875.0,-106.2164535,39.961194,2018-06-19 20:08:28+00:00,2485.667,0.75,1.27,7.3,8.0,-0.01,0.01,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016859157,0.0,0.0,0.0016858991,0.0,0.0016858539,0.000105369734,0.34097117,0.000105368694,0.00010536587
1.054,-106.216453586827,39.961194036475234,-2.0378416093749365,1.0831883135065394,-1.8874025519039397,-117.87724974206888,-0.030889768,-0.0046868883,-1.0020236,1.0025105,1.7536968,4.349161,4.766217,0.0119926445,6.6601206e-05,-0.0023538214,0.012221638,1545.0,65.01,2.1757501964626793,0.0016337428902595,-0.0012321762110705,0.02383024981558,-0.0096324771519685,0.0035422902309725,-0.0038980101758323,False,-576.6973969987607,-562.111783619528,-68.36841252643681,227.3318305512631,,,0.0,0.0,64915.0,-106.2164535,39.961194,2018-06-19 20:08:28+00:00,2485.667,0.75,1.27,7.3,8.0,-0.01,0.01,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016859157,0.0,0.0,0.0016858991,0.0,0.0016858539,0.000105369734,0.34097117,0.000105368694,0.00010536587
1.145,-106.216453586827,39.961194036475234,-2.0378416093749365,1.0831883135065394,-1.8874025519039397,-117.87724974206888,-0.030889768,-0.0046868883,-1.0020236,1.0025105,1.7536968,4.349161,4.766217,0.0119926445,6.6601206e-05,-0.0023538214,0.012221638,1545.0,65.01,2.1757501964626793,0.0016337428902595,-0.0012321762110705,0.02383024981558,-0.0096324771519685,0.0035422902309725,-0.0038980101758323,False,-576.6973969987607,-562.111783619528,-68.36841252643681,227.3318305512631,,,0.0,0.0,64915.0,-106.2164535,39.961194,2018-06-19 20:08:28+00:00,2485.667,0.75,1.27,7.3,8.0,-0.01,0.01,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016859157,0.0,0.0,0.0016858991,0.0,0.0016858539,0.000105369734,0.34097117,0.000105368694,0.00010536587
1.185,-106.21645358975424,39.96119404231809,-2.3337400468749365,1.1712829884555056,-1.994154762237019,-117.84236313928268,-0.03248972,-0.029724862,-1.0029049,1.0038712,4.2805104,-1.0557343,5.722119,0.00972772,-0.000810042,-0.0025244944,0.010082548,1536.0,64.98,2.3122160315333997,0.0027655642619599,-0.0012709159936878,0.0235760468035,-0.0073675528045678,0.0044189334602484,-0.0037273371649615,False,-576.5257805930373,-561.7973485354086,-68.60289156250802,227.33252650219436,,,0.0,0.0,64955.0,-106.2164535,39.961194,2018-06-19 20:08:28+00:00,2485.667,0.75,1.27,7.3,8.0,-0.01,0.01,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016859157,0.0,0.0,0.0016858991,0.0,0.0016858539,0.000105369734,0.34097117,0.000105368694,0.00010536587
1.227,-106.21645358975424,39.96119404231809,-2.3337400468749365,1.1712829884555056,-1.994154762237019,-117.84236313928268,-0.03248972,-0.029724862,-1.0029049,1.0038712,4.2805104,-1.0557343,5.722119,0.00972772,-0.000810042,-0.0025244944,0.010082548,1536.0,64.98,2.3122160315333997,0.0027655642619599,-0.0012709159936878,0.0235760468035,-0.0073675528045678,0.0044189334602484,-0.0037273371649615,False,-576.5257805930373,-561.7973485354086,-68.60289156250802,227.33252650219436,,,0.0,0.0,64955.0,-106.2164535,39.961194,2018-06-19 20:08:28+00:00,2485.671,0.75,1.27,7.3,8.0,0.01,0.01,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016854105,0.0,0.0,0.001685363,0.0,0.0016853542,0.00010533816,0.3406714,0.00010533519,0.000105334635
1.262,-106.21645358993302,39.96119404465654,-1.6811521562499363,1.1302856998575894,-2.036482626877284,-117.87211672311643,-0.053783134,0.003713907,-1.0030061,1.0044539,2.4077463,2.310115,5.9620647,0.008991631,0.0014792837,-0.000435879,0.009122921,1529.0,65.0,2.328659920314681,0.003740149609495,-0.001236073273505,0.0234219209171033,-0.006631463381269,0.0021296077629009,-0.0058159526029311,False,-576.4604737789919,-561.4491379031023,-68.53556155781699,227.33278697150345,,,0.0,0.0,64995.0,-106.2164535,39.961194,2018-06-19 20:08:28+00:00,2485.671,0.75,1.27,7.3,8.0,0.01,0.01,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016854105,0.0,0.0,0.001685363,0.0,0.0016853542,0.00010533816,0.3406714,0.00010533519,0.000105334635
1.351,-106.21645358993302,39.96119404465654,-1.6811521562499363,1.1302856998575894,-2.036482626877284,-117.87211672311643,-0.053783134,0.003713907,-1.0030061,1.0044539,2.4077463,2.310115,5.9620647,0.008991631,0.0014792837,-0.000435879,0.009122921,1529.0,65.0,2.328659920314681,0.003740149609495,-0.001236073273505,0.0234219209171033,-0.006631463381269,0.0021296077629009,-0.0058159526029311,False,-576.4604737789919,-561.4491379031023,-68.53556155781699,227.33278697150345,,,0.0,0.0,64995.0,-106.2164535,39.961194,2018-06-19 20:08:28+00:00,2485.671,0.75,1.27,7.3,8.0,0.01,0.01,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016854105,0.0,0.0,0.001685363,0.0,0.0016853542,0.00010533816,0.3406714,0.00010533519,0.000105334635
1.393,-106.21645353961108,39.961194052046416,-2.1303709062499365,1.154753368265416,-1.990665011144102,-117.8511077268059,-0.045951568,-0.03003772,-1.0167711,1.018252,-1.0760143,-1.2071792,5.004723,0.013072427,0.0058142673,-0.00272517,0.0145643605,1528.0,65.02,2.3008820069120683,0.0048895437499361,-0.0008561266319535576,0.0232572507934225,-0.0075323719528751,0.0070617585285194,-0.00039952486008114655,False,-576.40301798069,-561.3797633125504,-68.0314451478349,227.3371538520996,79.1539783769882,79.1539783769882,0.0,0.0,65035.0,-106.2164535,39.961194,2018-06-19 20:08:28+00:00,2485.671,0.75,1.27,7.3,8.0,0.01,0.01,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016854105,0.0,0.0,0.001685363,0.0,0.0016853542,0.00010533816,0.3406714,0.00010533519,0.000105334635
1.43,-106.21645353961108,39.961194052046416,-2.1303709062499365,1.154753368265416,-1.990665011144102,-117.8511077268059,-0.045951568,-0.03003772,-1.0167711,1.018252,-1.0760143,-1.2071792,5.004723,0.013072427,0.0058142673,-0.00272517,0.0145643605,1528.0,65.02,2.3008820069120683,0.0048895437499361,-0.0008561266319535576,0.0232572507934225,-0.0075323719528751,0.0070617585285194,-0.00039952486008114655,False,-576.40301798069,-561.3797633125504,-68.0314451478349,227.3371538520996,79.1539783769882,79.1539783769882,0.0,0.0,65035.0,-106.2164535,39.9611939,2018-06-19 20:08:28+00:00,2485.673,0.75,1.27,7.3,8.0,0.0,0.0,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016852074,0.0,0.0,0.0016852298,0.0,0.0016852116,0.00010532546,0.34054536,0.000105326864,0.00010532572
